,Year,Product line,Product type,Product,order method type,Retailer country,Revenue,Planned revenue,Product cost,Unit cost,Unit price,Gross profit,Unit sale price
0,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,United States,315044.33,437477.15,158371.76,2.55285714,66385,156672.57,5.19571429
1,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Canada,13444.68,14313.48,6298.8,2.9,6.59,2172,6.19
2,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Mexico,,,,,,,
3,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Brazil,,,,,,,
4,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Japan,181120.24,235236.64,89413.06,2.657,6.59,35696,5.488
5,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Korea,,,,,,,
6,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,China,69608.15,100200.95,35326.25,2.495,6.59,15205,5.04
7,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Singapore,30940.35,51619.47,16370.97,2.09,6.59,7833,3.95
8,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Australia,,,,,,,
9,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Netherlands,74321.18,94421.52,36531.63,2.6975,6.59,14328,5.585
10,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Sweden,18474.15,30821.43,9774.93,2.09,6.59,4677,3.95
11,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Finland,80890.34,117236.1,41021.31,2.495,6.59,17790,5.07
12,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Denmark,31746.7,33325.63,14665.3,2.9,6.59,5057,6.28333333
13,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,France,103244.26,138113.22,51200.76,2.63,6.59,20958,5.44333333
14,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Germany,,,,,,,
15,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,United Kingdom,160227.13,220995.65,80307.11,2.576,33535,79920.02,5.27
16,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Belgium,,,,,,,
17,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Switzerland,,,,,,,
18,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Austria,67179.39,85399.81,32490.25,2.6975,6.59,12959,5.75
19,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Italy,,,,,,,
20,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Telephone,Spain,,,,,,,
21,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,United States,181287.73,222735.41,88348.13,33799.0,6.59,92939.6,5.65222222
22,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Canada,,,,,,,
23,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Mexico,133617.26,169942.92,65215.05,2.72,25788,68402.21,5.72333333
24,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Brazil,,,,,,,
25,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Japan,,,,,,,
26,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Korea,186696.56,238492.1,91891.37,2.6975,36190,94805.19,5.585
27,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,China,,,,,,,
28,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Singapore,118193.46,161665.88,59183.15,2.576,24532,59010.31,5.258
29,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Australia,,,,,,,
30,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Netherlands,,,,,,,
31,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Sweden,,,,,,,
32,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Finland,72891.83,78361.69,34483.9,2.9,11891,38407.93,6.13
33,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Denmark,12469.92,13127.28,5776.8,2.9,1992,6693.12,6.26
34,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,France,96009.15,114692.36,46306.58,2.765,17404,49702.57,5.80833333
35,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Germany,137602.28,169692.5,66847.97,2.72,25750,70754.31,5.69444444
36,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,United Kingdom,11637.34,12250.81,5391.1,1859.0,6.59,6246.24,6.26
37,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Belgium,12843.9,13245.9,5829,2.9,2010,7014.9,6.39
38,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Switzerland,,,,,,,
39,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Austria,,,,,,,
40,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Italy,103089.33,131865.9,50526.78,2.66857143,20010,52562.55,5.55142857
41,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Sales visit,Spain,13036.14,13878.54,6107.4,2.9,2106,6928.74,6.19
42,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,United States,340867.26,407123.61,164590.44,2.7785,61779,176276.82,5.838
43,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Canada,138986.22,171649.73,67560.23,2.72,6.59,26047,5.68666667
44,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Mexico,20358.3,33964.86,10771.86,2.09,6.59,5154,3.95
45,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Brazil,120190.31,156433.42,58980.88,2.63,6.59,23738,5.47444444
46,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Japan,64370.58,81860.98,31495.9,2.6975,6.59,12422,5.63
47,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Korea,74254.93,98184.41,36862.37,2.63,6.59,14899,5.40333333
48,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,China,278106.13,348446.25,136239.21,2.72,6.59,52875,5.64555556
49,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Singapore,17421.46,18728.78,8241.8,2.9,6.59,2842,6.13
50,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Australia,,,,,,,
51,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Netherlands,96692.34,115918.1,46776.32,2.765,6.59,17590,5.78666667
52,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Sweden,49298.46,63224.46,24049.62,2.6975,6.59,9594,5.6825
53,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Finland,78856.6,100537.04,38794.34,2.6975,6.59,15256,5.585
54,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Denmark,30853.1,44093.69,15535.34,2.495,6.59,6691,5.105
55,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,France,91818.01,121196.69,45272.78,2.63,6.59,18391,5.46666667
56,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Germany,70482.18,74427.46,32752.6,2.9,6.59,11294,6.24833333
57,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,United Kingdom,168290.41,199446.35,80612.15,2.77538462,30265,87678.26,5.87769231
58,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Belgium,42871.8,56911.24,20957.14,2.59625,6.59,8636,5.475
59,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Switzerland,,,,,,,
60,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Austria,36562.75,45022.88,17574.77,2.6975,6.59,6832,5.7175
61,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Italy,12875.2,13707.2,6032,2.9,6.59,2080,6.19
62,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Web,Spain,108368.09,127219.95,51868.89,2.79875,6.59,19305,5.9275
63,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,United States,,,,,,,
64,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Canada,38011.56,40337.39,17750.9,2.9,6.59,6121,6.21333333
65,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Mexico,26152.75,27842.75,12252.5,2.9,6.59,4225,6.19
66,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Brazil,,,,,,,
67,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Japan,13234.22,14089.42,6200.2,2.9,6.59,2138,6.19
68,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Korea,,,,,,,
69,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,China,28198,30314,13340,2.9,6.59,4600,6.13
70,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Singapore,,,,,,,
71,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Australia,,,,,,,
72,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Netherlands,,,,,,,
73,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Sweden,,,,,,,
74,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Finland,,,,,,,
75,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Denmark,,,,,,,
76,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,France,,,,,,,
77,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Germany,,,,,,,
78,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,United Kingdom,,,,,,,
79,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Belgium,5489.01,5660.81,2491.1,2.9,6.59,859,6.39
80,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Switzerland,,,,,,,
81,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Austria,,,,,,,
82,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Italy,,,,,,,
83,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Special,Spain,,,,,,,
84,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,United States,48205.04,68628.26,24392.09,2.495,10414,23812.95,5.04
85,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Canada,,,,,,,
86,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Mexico,,,,,,,
87,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Brazil,,,,,,,
88,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Japan,13884.17,14781.37,6504.7,2.9,6.59,2243,6.19
89,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Korea,20909.43,22478.49,9891.9,2.9,6.59,3411,6.13
90,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,China,,,,,,,
91,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Singapore,,,,,,,
92,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Australia,,,,,,,
93,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Netherlands,18592.65,31019.13,9837.63,2.09,6.59,4707,3.95
94,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Sweden,,,,,,,
95,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Finland,,,,,,,
96,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Denmark,,,,,,,
97,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,France,42909.66,56726.72,21169.16,2.63,6.59,8608,5.46666667
98,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Germany,,,,,,,
99,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,United Kingdom,,,,,,,
100,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Belgium,,,,,,,
101,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Switzerland,,,,,,,
102,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Austria,,,,,,,
103,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Italy,,,,,,,
104,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Mail,Spain,14010.65,23374.73,7413.23,2.09,6.59,3547,3.95
105,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,United States,,,,,,,
106,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Canada,147265.42,168769.9,70010.02,2.82636364,6.59,25610,6.01181818
107,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Mexico,,,,,,,
108,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Brazil,,,,,,,
109,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Japan,72181.72,91521.92,35412.77,2.6975,6.59,13888,5.6
110,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Korea,,,,,,,
111,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,China,,,,,,,
112,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Singapore,,,,,,,
113,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Australia,,,,,,,
114,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Netherlands,15846.05,17035.15,7496.5,2.9,6.59,2585,6.13
115,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Sweden,12807.11,13634.71,6000.1,2.9,6.59,2069,6.19
116,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Finland,,,,,,,
117,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Denmark,,,,,,,
118,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,France,,,,,,,
119,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Germany,131629.64,188539.9,66575.41,2.495,6.59,28610,5.06375
120,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,United Kingdom,,,,,,,
121,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Belgium,,,,,,,
122,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Switzerland,,,,,,,
123,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Austria,,,,,,,
124,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Italy,57185.2,73445.55,27959.46,2.6975,6.59,11145,5.665
125,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,E-mail,Spain,27749.54,39902.45,13998.74,2.495,6.59,6055,5.105
126,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,United States,46745.73,50011.51,22008.1,2.9,7589,24737.63,6.17333333
127,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Canada,,,,,,,
128,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Mexico,,,,,,,
129,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Brazil,34051.1,36001.17,15842.7,2.9,6.59,5463,6.23666667
130,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Japan,60048.26,76364.92,29283.85,2.6975,6.59,11588,5.665
131,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Korea,,,,,,,
132,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,China,,,,,,,
133,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Singapore,97534.43,104853.49,46141.9,2.9,6.59,15911,6.13
134,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Australia,,,,,,,
135,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Netherlands,,,,,,,
136,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Sweden,,,,,,,
137,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Finland,,,,,,,
138,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Denmark,,,,,,,
139,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,France,39388.15,41839.91,18412.1,2.9,6.59,6349,6.21666667
140,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Germany,13525.15,14399.15,6336.5,2.9,6.59,2185,6.19
141,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,United Kingdom,,,,,,,
142,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Belgium,,,,,,,
143,2004,Camping Equipment,Cooking Gear,TrailChef Water Bag ,Fax,Switzerland,,,,,,,
