@relation customer_churn-weka.filters.unsupervised.instance.RemoveDuplicates-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last

@attribute Churn_binarized {0,1}
@attribute Tenure_binarized {0,1}
@attribute PreferredLoginDevice {Computer,'Mobile Phone',Phone}
@attribute CityTier_binarized {0,1}
@attribute WarehouseToHome_binarized {0,1}
@attribute PreferredPaymentMode {'Debit Card','Credit Card','E wallet',CC,COD,UPI,'Cash on Delivery'}
@attribute Gender {Male,Female}
@attribute HourSpendOnApp_binarized {0,1}
@attribute NumberOfDeviceRegistered_binarized {0,1}
@attribute PreferedOrderCat {'Mobile Phone',Grocery,'Laptop & Accessory',Mobile,Fashion,Others}
@attribute SatisfactionScore_binarized {0,1}
@attribute MaritalStatus {Single,Married,Divorced}
@attribute NumberOfAddress_binarized {0,1}
@attribute Complain_binarized {0,1}
@attribute OrderAmountHikeFromlastYear_binarized {0,1}
@attribute CouponUsed_binarized {0,1}
@attribute OrderCount_binarized {0,1}
@attribute DaySinceLastOrder_binarized {0,1}
@attribute CashbackAmount numeric

@data
1,1,Computer,1,1,'Debit Card',Male,1,1,'Mobile Phone',1,Single,1,1,1,1,1,1,149
0,1,'Mobile Phone',1,1,'Debit Card',Male,1,1,Grocery,1,Married,1,0,1,0,1,1,243
0,1,'Mobile Phone',1,1,'Credit Card',Male,1,1,'Laptop & Accessory',1,Single,1,0,1,1,1,1,168
1,0,Phone,1,1,'E wallet',Male,1,1,Mobile,1,Married,1,1,1,0,1,0,124
0,1,Computer,1,1,'Debit Card',Male,1,1,'Laptop & Accessory',1,Divorced,1,0,1,1,1,1,149
1,0,Computer,1,1,'Debit Card',Female,1,1,Fashion,1,Single,1,0,1,1,1,1,174
0,1,Computer,1,1,'Debit Card',Female,1,1,'Mobile Phone',1,Married,1,0,1,1,1,1,173
1,1,Phone,1,1,CC,Male,1,1,Mobile,1,Divorced,1,1,1,1,1,1,124
0,1,Computer,1,1,'Debit Card',Male,1,1,'Laptop & Accessory',1,Single,1,0,1,1,1,1,143
1,1,Computer,1,1,'Debit Card',Female,1,1,'Mobile Phone',1,Single,1,0,1,1,1,1,166
0,1,'Mobile Phone',1,1,COD,Male,1,1,'Laptop & Accessory',1,Married,1,1,1,1,1,1,181
0,0,Phone,1,1,'Debit Card',Male,1,1,Mobile,1,Single,1,0,1,0,1,1,127
1,1,Phone,1,1,'Credit Card',Female,1,1,'Mobile Phone',1,Married,1,1,1,1,1,1,146
0,1,Phone,1,1,'Credit Card',Male,1,1,'Mobile Phone',1,Single,1,0,1,1,1,1,147
1,1,'Mobile Phone',1,1,'Credit Card',Male,1,1,'Laptop & Accessory',1,Single,1,0,1,1,1,1,177
1,0,Computer,1,1,'Debit Card',Female,1,1,Mobile,1,Married,1,1,1,0,1,0,127
1,0,'Mobile Phone',1,1,'Credit Card',Male,1,1,Fashion,1,Divorced,1,1,1,0,1,1,236
0,1,'Mobile Phone',1,1,UPI,Male,1,1,Others,1,Married,1,0,1,1,1,1,291
0,1,'Mobile Phone',1,1,'Debit Card',Male,1,1,Others,1,Married,1,0,1,1,1,1,289
0,1,'Mobile Phone',1,1,'Cash on Delivery',Female,1,1,Fashion,1,Married,1,0,1,1,1,1,236
0,1,'Mobile Phone',1,1,UPI,Male,1,1,Others,1,Single,1,0,1,1,1,1,296
0,1,'Mobile Phone',1,1,'E wallet',Female,1,1,Grocery,1,Married,1,0,1,1,1,1,245
0,1,'Mobile Phone',1,1,UPI,Male,1,1,'Mobile Phone',1,Married,1,1,1,1,1,1,165
0,1,Phone,1,1,CC,Male,1,1,Mobile,1,Married,1,1,1,0,1,1,129
0,1,'Mobile Phone',1,1,'Debit Card',Male,1,1,Fashion,1,Single,1,1,1,1,1,1,196
